369312547;35646
414964661;35287
378471320;35562
1747602714;35646
369318897;35646
493341504;35646
1068060397;35646
759476613;35647
1685780977;35646
1235298665;35646
1038286846;35646
490852620;35646
490760885;35644
1238791479;35644
1242256678;35644
608999671;35646
436147316;35644
2069690435;35646
1269248459;35026
758390980;35644
722539347;35644
878529780;35645
1324465135;35647
379699020;35644
594986961;35645
964391863;35646
875237948;35645
505968478;35764
847579505;35646
838591093;35645
771531444;35626
437670426;35647
878748058;35647
1911305288;35645
530452261;35645
378643059;35640
872572540;35641
889964371;35641
720074709;35641
327902211;35647
2141380777;35602
888401025;35641
813925946;35647
1088774134;35539
488703019;35788
842618398;35536
821774654;35520
916367979;35644
1245945595;35645
785557078;35645
723556956;35555
667101939;35555
495999981;35555
756974015;35645
1858397866;35555
872099336;35638
872312966;35645
783217135;35647
1706217356;35526
834282713;35539
1392823961;35555
846820472;35652
862114398;35551
41190349;35551
302739136;35551
937330793;35555
701985510;35696
533731528;35788
773278949;35725
913742689;35551
1285850914;35694
1094067605;35555
1196641442;35531
785270060;35536
5097878937;35551
1894161531;35127
808903466;35551
1750366107;35526
628024984;35645
755579262;35646
1374105982;35646
364505150;35647
1066657442;35644
467183358;35645
839362914;35644
1139865556;35647
283210044;35646
856875413;35645
440052328;35647
893704901;35647
978042647;35551
440453234;37297
